mode,rate_pps,repeat,status,measured_pps,run_dir,log_file
baseline-no-katran,950000,1,ok,560652,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001117Z-katran-suite-baseline-no-katran-950000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-950000-r1.log
baseline-no-katran,950000,2,ok,557657,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001214Z-katran-suite-baseline-no-katran-950000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-950000-r2.log
baseline-no-katran,950000,3,ok,557626,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001312Z-katran-suite-baseline-no-katran-950000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-950000-r3.log
baseline-no-katran,1000000,1,ok,559168,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001409Z-katran-suite-baseline-no-katran-1000000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-1000000-r1.log
baseline-no-katran,1000000,2,ok,559942,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001510Z-katran-suite-baseline-no-katran-1000000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-1000000-r2.log
baseline-no-katran,1000000,3,ok,566311,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001610Z-katran-suite-baseline-no-katran-1000000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-baseline-no-katran-1000000-r3.log
katran-orig-bpf,50000,1,ok,50000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001710Z-katran-suite-katran-orig-bpf-50000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-50000-r1.log
katran-orig-bpf,50000,2,ok,50000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001747Z-katran-suite-katran-orig-bpf-50000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-50000-r2.log
katran-orig-bpf,50000,3,ok,50000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001824Z-katran-suite-katran-orig-bpf-50000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-50000-r3.log
katran-orig-bpf,100000,1,ok,100000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001902Z-katran-suite-katran-orig-bpf-100000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-100000-r1.log
katran-orig-bpf,100000,2,ok,100000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T001939Z-katran-suite-katran-orig-bpf-100000-r2,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-100000-r2.log
katran-orig-bpf,100000,3,ok,100000,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002016Z-katran-suite-katran-orig-bpf-100000-r3,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-100000-r3.log
katran-orig-bpf,150000,1,ok,150015,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/runs/20260220T002054Z-katran-suite-katran-orig-bpf-150000-r1,/home/zhengjie/github/local/dual-vm/results/experiments/20260219T233444Z-katran-suite/logs-cases/katran-suite-katran-orig-bpf-150000-r1.log
